dataset_number/I:physics_short/C:crossSection/D:genFiltEff/D:kFactor/D:relUncertUP/D:relUncertDOWN/D:generator_name/C														
341311				0.00081184		1.00E+00		1		0		0		
341549				0.025654		5.43E-01		1		0		0		
341554				0.001058		5.42E-01		1		0		0		
341557				8.98E-05		5.43E-01		1		0		0		
345935				729.77		9.52E-02		1		0		0		
345951				730.17		7.84E-02		1		0		0		
346031				730.16		1.53E-02		1		0		0		
364302				0.92331		1.42E-01		1		0		0		
364303				0.92488		2.80E-01		1		0		0		
364304				0.62194		1.00E+00		1		0		0		
364305				0.62186		1.00E+00		1		0		0		
426349				8847300		1.00E+00		1		0		0		
426350				8846900		1.00E+00		1		0		0		
110351				695.55		4.52E-01		1		0		0		
110401				695.54		5.49E-01		1		0		0		
110910				0.0056622		1.00E+00		1		0		0		
119994				78420000000		1.00E+00		1		0		0		
147400				11315		1.00E+00		1		0		0		
147401				11315		1.00E+00		1		0		0		
147403				8271.5		1.00E+00		1		0		0		
147404				8271.5		1.00E+00		1		0		0		
147407				1903		1.00E+00		1		0		0		
147436				1902.5		3.26E-01		1		0		0		
147446				1904		5.28E-01		1		0		0		
161849				0.071379		1.00E+00		1		0		0		
169723				3.844		1.00E+00		1		0		0		
189527				0.1918		1.16E-01		1		0		0		
189529				0.08755		7.06E-01		1		0		0		
189530				0.08791		2.69E-01		1		0		0		
203514				1.00E-05		1.00E+00		1		0		0		
203518				1.00E-07		1.00E+00		1		0		0		
206726				0.1109		1.00E+00		1		0		0		
206727				0.08395		1.00E+00		1		0		0		
300000				3498900		1.00E+00		1		0		0		
300001				619200		1.00E+00		1		0		0		
300002				270.3		1.00E+00		1		0		0		
300003				4.994		1.00E+00		1		0		0		
300004				7588.3		1.00E+00		1		0		0		
300005				2.1528		1.00E+00		1		0		0		
300006				422.64		1.00E+00		1		0		0		
300007				531.24		1.00E+00		1		0		0		
300008				396.53		1.00E+00		1		0		0		
300012				141180		1.00E+00		1		0		0		
300046				1.00E-16		6.48E-01		1		0		0		
300047				1.00E-16		6.43E-01		1		0		0		
300048				1.00E-16		5.94E-01		1		0		0		
300049				3.36E-18		5.82E-01		1		0		0		
300050				1.01E-16		6.19E-01		1		0		0		
300051				2698.9		6.12E-01		1		0		0		
300052				0.65944		5.96E-01		1		0		0		
300100				447800		1.00E+00		1		0		0		
300101				681340		1.00E+00		1		0		0		
300200				55381000		1.00E+00		1		0		0		
300201				12672000		1.00E+00		1		0		0		
300202				3765000		1.00E+00		1		0		0		
300203				19574000		1.00E+00		1		0		0		
300306				78127000		8.09E-02		1		0		0		
300307				78065000		3.67E-02		1		0		0		
300308				78064000		4.42E-02		1		0		0		
300400				3652400		1.00E+00		1		0		0		
300401				1352400		1.00E+00		1		0		0		
300402				8113500		1.00E+00		1		0		0		
300403				1220800		1.00E+00		1		0		0		
300404				113630000		1.09E-01		1		0		0		
300405				114290000		1.08E-01		1		0		0		
300406				113540000		1.08E-01		1		0		0		
300407				1067600		6.87E-01		1		0		0		
300408				1080000		6.89E-01		1		0		0		
300409				25188000		2.94E-01		1		0		0		
300410				25182000		8.15E-02		1		0		0		
300411				113660000		7.22E-02		1		0		0		
300412				113660000		7.19E-02		1		0		0		
300417				25190000		9.55E-02		1		0		0		
300419				6752800		2.31E-02		1		0		0		
300420				113670000		7.16E-02		1		0		0		
300421				114290000		7.10E-02		1		0		0		
300422				113660000		8.19E-02		1		0		0		
300423				114340000		8.13E-02		1		0		0		
300424				23187000		2.85E-02		1		0		0		
300425				23418000		2.85E-02		1		0		0		
300426				50582000		2.07E-01		1		0		0		
300427				50483000		1.00E+00		1		0		0		
300428				226950000		1.00E+00		1		0		0		
300430				226970000		2.01E-01		1		0		0		
300431				138830000		3.14E-01		1		0		0		
300432				25178000		9.28E-02		1		0		0		
300433				113870000		8.31E-02		1		0		0		
300434				9809800		1.16E-01		1		0		0		
300437				114360000		1.07E-01		1		0		0		
300438				767480		1.00E+00		1		0		0		
300439				36185000		3.57E-01		1		0		0		
300440				579330000		8.18E-01		1		0		0		
300441				106160000		4.34E-01		1		0		0		
300442				473440000		4.27E-01		1		0		0		
300443				56714000		1.39E-01		1		0		0		
300444				472670000		4.71E-01		1		0		0		
300445				277320000		2.86E-01		1		0		0		
300450				13260000		1.00E+00		1		0		0		
300451				466840		8.40E-01		1		0		0		
300452				459500		8.39E-01		1		0		0		
300453				3484800		2.66E-02		1		0		0		
300454				960150		1.00E+00		1		0		0		
300457				5563300		1.51E-02		1		0		0		
300458				1615300		1.00E+00		1		0		0		
300459				1630700		1.00E+00		1		0		0		
300460				2167100		7.39E-03		1		0		0		
300461				3479100		5.93E-03		1		0		0		
300462				10599000		4.28E-01		1		0		0		
300463				10448000		4.27E-01		1		0		0		
300464				1057600		9.97E-01		1		0		0		
300465				1043200		9.97E-01		1		0		0		
300467				11530000		1.00E+00		1		0		0		
300468				11357000		1.00E+00		1		0		0		
300500				213050		1.00E+00		1		0		0		
300501				161490		1.00E+00		1		0		0		
300502				414290000		1.00E+00		1		0		0		
300503				180830000		1.00E+00		1		0		0		
300504				250740000		1.00E+00		1		0		0		
300505				414480000		1.00E+00		1		0		0		
300506				180850000		1.00E+00		1		0		0		
300507				250620000		1.00E+00		1		0		0		
300508				413930000		1.00E+00		1		0		0		
300509				180890000		1.00E+00		1		0		0		
300510				250610000		1.00E+00		1		0		0		
300511				414000000		1.00E+00		1		0		0		
300512				180850000		1.00E+00		1		0		0		
300513				250610000		1.00E+00		1		0		0		
300514				414070000		1.00E+00		1		0		0		
